"","pi_values","pi_incumbent","time_iter"
"1",4658.01279523468,4658.01279523468,1.45349309841792
"2",4590.75580622493,4658.01279523468,3.12340413331985
"3",4811.98541754209,4811.98541754209,4.54843691984812
"4",4658.27173333756,4811.98541754209,6.38993211984634
"5",4807.70382093359,4811.98541754209,7.67748710314433
"6",4669.13436698396,4811.98541754209,8.89084310134252
"7",5052.36104919509,5052.36104919509,10.7853270530701
"8",4661.04499501157,5052.36104919509,12.744426103433
"9",5342.1506852967,5342.1506852967,14.1121401548386
"10",4156.19188276357,5342.1506852967,16.064657886823
"11",4078.84446596363,5342.1506852967,17.2863261699677
"12",5012.5351445704,5342.1506852967,19.1507182717323
"13",5075.33586865098,5342.1506852967,21.0500487883886
"14",5004.98205055314,5342.1506852967,22.7565404057503
"15",4960.71744209243,5342.1506852967,24.4798180739085
"16",7496.67159110764,7496.67159110764,26.0888739228249
"17",5861.66929465118,7496.67159110764,27.0028709212939
"18",4720.47284374475,7496.67159110764,28.241431371371
"19",4401.04473211885,7496.67159110764,29.2237711707751
"20",4344.94239691097,7496.67159110764,29.9971193234126
"21",4621.75442944607,7496.67159110764,31.9090851227442
"22",5721.88280995908,7496.67159110764,33.3497936725616
"23",4596.24482983242,7496.67159110764,34.9973764061928
"24",4715.90691147436,7496.67159110764,36.322380622228
"25",5835.98969807666,7496.67159110764,37.9444630742073
"26",4717.31610024192,7496.67159110764,39.9203595081965
"27",5057.8435747421,7496.67159110764,41.6283250888189
"28",5949.55955961088,7496.67159110764,43.4704896728198
"29",7054.69040204122,7496.67159110764,44.6893969257673
"30",6205.31854351019,7496.67159110764,47.0643635948499
"31",6204.85415141695,7496.67159110764,48.7341815431913
"32",5005.01509482766,7496.67159110764,50.0062120079994
"33",5699.06629401303,7496.67159110764,51.3597712079684
"34",5052.99386245251,7496.67159110764,52.4047491749128
"35",6204.44672132993,7496.67159110764,53.3768803755442
"36",5845.10311561844,7496.67159110764,54.358958542347
"37",6205.53338116797,7496.67159110764,55.5396904587746
"38",4628.75649970691,7496.67159110764,56.8368896087011
"39",4675.07396297053,7496.67159110764,57.6044366081556
"40",4396.79301646182,7496.67159110764,58.6507317384084
"41",3569.17287062522,7496.67159110764,59.9561545014381
"42",3827.66125597782,7496.67159110764,61.5664265354474
"43",3831.53646541693,7496.67159110764,62.7133707205454
"44",3730.71386962768,7496.67159110764,63.9661686698596
"45",3564.10307440576,7496.67159110764,64.6114519874255
"46",4399.4195463085,7496.67159110764,66.3248958388964
"47",6178.04117061366,7496.67159110764,68.2414702733358
"48",4593.32797139634,7496.67159110764,69.8688396056493
"49",6179.72434023793,7496.67159110764,71.4128835241
"50",5973.8460116609,7496.67159110764,73.1830057581266
